id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19
39,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-07-37-the_command_as_the_claim_of_god.txt,0.118314313,0.188237319,0.235071315,0.02035365,9.89E-04,0.162864206,0.009494498,1.37E-05,1.73E-05,0.019558476,0.18210452,0.007432502,0.027378922,0.001122126,1.39E-04,0.003058758,0.001399865,0.022246529,1.92E-04,1.20E-05
40,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-08-38-the_command_as_the_decision_of_god.txt,0.190034198,0.237785086,0.126384206,0.028822951,0.004119007,0.077750926,1.10E-05,0.002824854,5.81E-05,0.020030174,0.199648802,0.003946978,0.027897012,0.009940363,1.08E-04,0.002467387,0.012389781,0.006842959,0.048928986,9.35E-06
41,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-09-39-the_command_as_the_judgment_of_god.txt,0.119658662,0.077582474,0.210735896,0.011633861,1.35E-04,0.381961656,0.01364287,2.50E-04,3.68E-04,0.012656166,0.141558909,0.005173707,0.012780161,8.40E-04,4.62E-05,3.61E-04,7.10E-04,0.00560124,3.90E-05,0.004264197
43,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/05-02-40-faith_in_god_the_creator.txt,0.123035643,1.92E-05,0.07845108,0.014891492,0.192083576,0.052520214,5.65E-04,0.01984579,0.050659826,2.59E-04,0.168625871,0.081365657,0.004579817,0.013198674,0.130598603,0.028786109,0.011241863,2.05E-05,0.011994311,0.017257412
44,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/05-03-41-creation_and_covenant.txt,0.109489806,0.004145973,0.125381445,0.008726461,0.426174575,0.014531935,0.004190581,0.01237544,0.001647189,0.006024695,0.189932878,0.020285948,0.037239732,8.04E-05,0.02243839,0.007926729,0.001284649,0.005163807,7.90E-04,0.002169229
45,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/05-04-42-the_yes_of_god_the_creator.txt,0.277591298,0.003685951,0.056319802,0.002218825,0.028163022,0.024190328,0.027744781,0.248653358,0.021339891,0.014359912,0.205490576,0.042719533,0.015888894,0.002653957,2.17E-05,6.49E-05,0.007267202,0.003739065,7.09E-05,0.017816076
47,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/06-02-43-man_as_a_problem_of_dogmatics.txt,0.216757648,1.64E-05,0.283448578,0.00956159,0.046614047,0.037841925,0.037903842,0.12054457,0.020848508,3.72E-05,0.146795555,3.29E-05,0.003074226,0.029399651,0.004532324,0.032124357,0.002509878,8.43E-04,8.58E-04,0.0062563
48,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/06-03-44-man_as_the_creature_of_god.txt,0.190211876,0.006302017,0.331142406,1.36E-04,0.011346474,0.004836955,9.40E-04,0.168240306,0.014079922,0.016653192,0.189191539,0.018418505,0.004899428,0.002265697,0.013312567,0.002384753,0.005472748,0.002736631,1.12E-05,0.017417857
49,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/06-04-45-man_in_his_determination_as_the_covenant-partner_of_god.txt,0.133497558,0.01888707,0.237361426,0.007749253,0.032491344,0.022733188,0.011071903,0.022172906,1.18E-05,0.011078104,0.252338015,1.40E-05,0.019330267,1.38E-04,9.44E-05,9.23E-06,0.006033965,0.197525167,0.027454276,8.18E-06
50,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/06-05-46-man_as_soul_and_body.txt,0.152997787,0.003638342,0.140472052,0.008509217,0.002642013,0.014747186,0.003122327,0.391940858,6.90E-04,0.011747794,0.188202073,0.00424409,0.021608369,0.003013907,0.017414397,0.011102574,0.005760615,0.003558985,0.014578686,8.36E-06
