,id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,para_nums,titles
29,31,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-06-30-the_perfections_of_the_divine_loving.txt,0.12374592400000001,0.00035800000000000003,0.088772512,0.049102314,0.013027243999999999,0.274367999,0.040336041,0.00022999999999999998,0.007157773,0.009222451,0.129848945,0.190289367,0.023998619,0.0034859409999999998,0.032804283,0.004174369,1.6e-05,0.0072405659999999995,0.000541,0.001280299,30,the_perfections_of_the_divine_loving.txt
30,32,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-07-31-the_perfections_of_the_divine_freedom.txt,0.152293645,2.08e-05,0.058500965,0.01025123,0.015921735,0.035821238,0.007088857,0.003449293,0.008679846,0.006490979,0.15468289300000002,0.4317893,0.032922863999999996,0.008295216,0.031172004,0.011434761000000002,0.004741202,0.000145,0.001984883,0.024313573999999998,31,the_perfections_of_the_divine_freedom.txt
31,34,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-02-32-the_problem_of_a_correct_doctrine_of_the_election_of_grace.txt,0.174890565,0.00045700000000000005,0.064055904,0.032795677,5.44e-05,0.029307331000000002,0.003199742,0.0012232999999999999,0.01622621,1.82e-05,0.120155339,0.090286213,6.809999999999999e-05,0.05261399,0.098866571,0.000999,1.63e-05,8.53e-06,0.000106,0.314652306,32,the_problem_of_a_correct_doctrine_of_the_election_of_grace.txt
32,35,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-03-33-the_election_of_jesus_christ.txt,0.14452803,7.36e-06,0.172875748,0.025840732999999998,4.99e-05,0.065321081,0.002028841,0.00021600000000000002,0.001165926,1.67e-05,0.11001458300000001,0.05661970400000001,0.013204385,2.18e-05,0.066468079,0.001451632,0.000262,7.83e-06,5.56e-05,0.33984408,33,the_election_of_jesus_christ.txt
33,36,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-04-34-the_election_of_the_community.txt,0.11809467400000001,6.43e-06,0.109532301,0.45695405,0.002994841,0.085499865,0.00036899999999999997,4.46e-05,0.000407,0.00134628,0.168311047,4.8899999999999996e-05,0.031618939,0.000919,1.49e-05,0.000404,0.007823206,0.0013745060000000002,0.014121153000000001,0.00011599999999999999,34,the_election_of_the_community.txt
34,37,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-05-35-the_election_of_the_individual.txt,0.11004001,3.51e-06,0.115149851,0.38406020799999996,0.005465657,0.081934148,0.013147883,4.69e-06,2.56e-05,0.009320071,0.154247683,0.013680518000000001,0.032464984,0.00105164,0.024152793999999998,0.00917922,0.011774973999999999,0.005661716999999999,0.015193052,0.013441828000000001,35,the_election_of_the_individual.txt
35,38,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-06-36-ethics_as_a_task_of_the_doctrine_of_god.txt,0.252946701,0.264808504,0.16125737099999998,2.72e-05,2.33e-05,0.013702043,0.00024900000000000004,0.00734474,0.055142255999999994,0.000156,0.13321935,0.01046282,0.000833,0.035208696,0.005590025,2.62e-05,0.009132767,0.003901972,0.005582887,0.040384643,36,ethics_as_a_task_of_the_doctrine_of_god.txt
36,39,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-07-37-the_command_as_the_claim_of_god.txt,0.118314313,0.188237319,0.235071315,0.02035365,0.000989,0.16286420599999998,0.009494498,1.3699999999999998e-05,1.73e-05,0.019558476,0.18210452,0.007432502,0.027378922000000003,0.001122126,0.000139,0.003058758,0.001399865,0.022246528999999998,0.000192,1.2e-05,37,the_command_as_the_claim_of_god.txt
37,40,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-08-38-the_command_as_the_decision_of_god.txt,0.19003419800000002,0.237785086,0.126384206,0.028822951,0.004119007,0.077750926,1.1e-05,0.0028248540000000003,5.8099999999999996e-05,0.020030173999999998,0.199648802,0.003946978,0.027897012000000002,0.009940363,0.00010800000000000001,0.002467387,0.012389781,0.006842959,0.048928985999999994,9.35e-06,38,the_command_as_the_decision_of_god.txt
38,41,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-09-39-the_command_as_the_judgment_of_god.txt,0.119658662,0.077582474,0.210735896,0.011633861,0.000135,0.38196165600000004,0.01364287,0.00025,0.000368,0.012656166000000002,0.141558909,0.0051737070000000005,0.012780161000000002,0.00084,4.6200000000000005e-05,0.000361,0.0007099999999999999,0.00560124,3.9e-05,0.004264197,39,the_command_as_the_judgment_of_god.txt
