id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,,,,,,,,,,,,,,,,,,,,
69,paragraph-2-1-27-002.md,0.17137931,0.074827586,0.027931034,0.01,0.001724138,3.45E-04,0.164482759,3.45E-04,0.038965517,0.021034483,0.005862069,0.001724138,0.041724138,0.01,0.00862069,3.45E-04,0.065172414,0.00862069,0.179655172,0.167241379,,,,,,,,,,,,,,,,,,,,
70,paragraph-2-1-28-001.md,0.107142857,0.002380952,0.078571429,0.011904762,0.04047619,0.002380952,0.183333333,0.030952381,0.126190476,0.002380952,0.021428571,0.002380952,0.04047619,0.002380952,0.221428571,0.002380952,0.021428571,0.002380952,0.097619048,0.002380952,,,,,,,,,,,,,,,,,,,,
71,paragraph-2-1-28-002.md,0.012162162,0.006756757,0.206756757,0.060810811,0.001351351,0.006756757,0.077027027,0.001351351,0.001351351,0.055405405,0.001351351,0.001351351,0.012162162,0.001351351,0.012162162,0.006756757,0.066216216,0.141891892,0.093243243,0.233783784,,,,,,,,,,,,,,,,,,,,
72,paragraph-2-1-28-003.md,0.27189781,0.001824818,0.083576642,3.65E-04,3.65E-04,0.019343066,0.159489051,3.65E-04,0.068978102,0.023722628,3.65E-04,3.65E-04,3.65E-04,0.106934307,3.65E-04,0.029562044,3.65E-04,0.052919708,0.117153285,0.061678832,,,,,,,,,,,,,,,,,,,,
73,paragraph-2-1-29-000.md,0.221428571,0.002380952,0.088095238,0.069047619,0.002380952,0.069047619,0.202380952,0.011904762,0.021428571,0.078571429,0.011904762,0.002380952,0.011904762,0.002380952,0.002380952,0.021428571,0.002380952,0.002380952,0.069047619,0.107142857,,,,,,,,,,,,,,,,,,,,
74,paragraph-2-1-30-001.md,0.171333333,0.062,0.168666667,0.064666667,6.67E-04,0.006,0.059333333,0.016666667,0.035333333,6.67E-04,6.67E-04,6.67E-04,6.67E-04,0.011333333,0.024666667,0.006,0.03,0.123333333,0.104666667,0.112666667,,,,,,,,,,,,,,,,,,,,
75,paragraph-2-1-30-002.md,0.050932836,0.00988806,0.091977612,0.067350746,0.028544776,1.87E-04,0.100932836,0.001679104,0.00988806,0.006156716,0.021828358,1.87E-04,0.012126866,0.006902985,0.018097015,0.009141791,0.353171642,0.016604478,0.113619403,0.080783582,,,,,,,,,,,,,,,,,,,,
76,paragraph-2-1-30-003.md,0.085820896,0.005223881,0.210199005,0.049004975,0.056965174,0.020149254,0.130597015,2.49E-04,2.49E-04,0.071890547,2.49E-04,0.003233831,0.021144279,2.49E-04,0.00721393,2.49E-04,0.190298507,0.024129353,0.064925373,0.057960199,,,,,,,,,,,,,,,,,,,,
77,paragraph-2-1-31-001.md,0.094164038,0.031072555,0.252523659,0.065141956,1.58E-04,1.58E-04,0.162302839,0.020347003,0.094164038,0.005835962,0.007728707,0.002050473,0.01214511,1.58E-04,0.01340694,7.89E-04,0.036750789,0.003943218,0.148422713,0.04873817,,,,,,,,,,,,,,,,,,,,
78,paragraph-2-1-31-002.md,0.048198198,0.01996997,0.203153153,0.050600601,1.50E-04,0.01036036,0.105855856,0.006156156,0.134684685,0.054804805,1.50E-04,0.004954955,0.003153153,0.066216216,0.003153153,0.009159159,0.046396396,0.017567568,0.145495495,0.06981982,,,,,,,,,,,,,,,,,,,,
79,paragraph-2-1-31-003.md,0.067731959,0.047525773,0.211237113,5.15E-04,9.28E-04,0.029793814,0.124639175,0.009175258,0.069381443,0.02814433,0.005463918,1.03E-04,0.012886598,0.019072165,0.092474227,0.00628866,0.06443299,0.015773196,0.158041237,0.036391753,,,,,,,,,,,,,,,,,,,,
80,paragraph-2-2-32-001.md,0.001515152,0.134848485,0.127575758,3.03E-04,0.01969697,0.013636364,0.151818182,3.03E-04,0.093636364,3.03E-04,3.03E-04,3.03E-04,3.03E-04,0.177272727,3.03E-04,0.034242424,0.022121212,0.036666667,0.088787879,0.096060606,,,,,,,,,,,,,,,,,,,,
81,paragraph-2-2-32-002.md,0.062075472,0.022075472,0.028113208,1.89E-04,9.43E-04,0.011509434,0.123962264,0.012264151,0.040943396,0.001698113,0.006981132,0.02509434,1.89E-04,0.419056604,0.001698113,9.43E-04,0.054528302,1.89E-04,0.133018868,0.054528302,,,,,,,,,,,,,,,,,,,,
